Pelicula,Año de estreno,Ganancia
The Adventurer: The Curse of the Midas Box,2013,-20423858.630000003
Dorian Gray,2009,10732018.64
Blood Ties,2013,111803290.74
The Firm,1993,532891074.50000006
Space Cowboys,2000,90009768.67000002
Employee of the Month,2006,138253057.47000003
Doubt,2008,130722797.75
Unleashed,2005,499911087.8000001
Byzantium,2012,130789639.69
Balto,1995,79490639.50999999
Annabelle's Wish,1997,183476521.2
The Dark Half,1993,111949735.70999998
Northanger Abbey,2007,190193464.75
Joy Ride,2001,203200370.7
Bean,1997,348840208.29999995
Changing Lanes,2002,19243687.300000012
The Whole Nine Yards,2000,169117291.39000002
Repo Man,1984,119023118.24000001
Punch-Drunk Love,2002,234536231.3
Kong saan mei yan,2008,248052986.32
Buried,2010,45717523.230000004
Son of God,2014,203666638.57
The Bodyguard,1992,7554036.1900000125
Edtv,1999,45718907.529999994
Dinner for Schmucks,2010,583744218.5
Amy,2015,10851126.633000001
Herbie Rides Again,1974,128311225.25999999
Guess Who,2005,21980350.299999997
How to Steal a Million,1966,91601164.47
Everyone Says I Love You,1996,382559133.27000004
See No Evil Hear No Evil,1989,114808578.76
Les MisÃ©rables,1998,87103088.69
The Devil's Own,1997,11460538.799999982
A Thousand Words,2012,108170163.28999999
Color of Night,1994,30233375.789000005
Almost Famous,2000,107336213.49999999
Bring It On,2000,22732807.729999997
Fed Up,2014,15287562.300000012
Straw Dogs,1971,44023174.42999999
Take Me Home Tonight,2011,89395323.47
The Wolverine,2013,43031029.46
Belle de jour,1967,-7971257.3500000015
Snitch,2013,57240659.85000001
When in Rome,2010,-15064445.580000002
In & Out,1997,55521772.71000001
Keeping Mum,2005,-6059264.15
Free Birds,2013,117412733.82
Â¡Three Amigos!,1986,17748835.75
Hysteria,2011,10604271.360000001
I Am Sam,2001,-1883428.9100000001
Look Who's Talking Too,1990,45646195.88999999
War Room,2015,97702135.92
A Matter of Loaf and Death,2008,75292543.96000001
That Thing You Do!,1996,147255456.71
